"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"R26,R7,R27,R8";"R_0402_1005Metric";4;"100";;;
2;"C43,C51";"C_0805_2012Metric";2;"10uF";;;
3;"C19,C7,C1,C52,C26,C21,C33,C22,C42,C23,C29,C20,C9";"C_0402_1005Metric";13;"0.1uF";;;
4;"U3";"SN74AXC1T45";1;"SN74AXC1T45DBVR";;;
5;"U8";"TSSOP-16_4.4x5mm_P0.65mm";1;"INA260";;;
6;"R13";"R_0402_1005Metric";1;"1.33k";;;
7;"TP26,TP31,TP19,TP5,TP16,TP15,TP23,TP30,TP21,TP17,TP29,TP32,TP28,TP12,TP18,TP8,TP24,TP6,TP27,TP11,TP1,TP3,TP25,TP10,TP7,TP4,TP13,TP9,TP14,TP22,TP2";"TestPoint_Pad_D1.5mm";31;"TestPoint";;;
8;"C41";"C_0805_2012Metric";1;"1.5nF";;;
9;"JP2,JP1";"SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm";2;"SolderJumper_2_Open";;;
10;"R1,R18,R19";"R_0402_1005Metric";3;"1k";;;
11;"C3,C25,C50,C4,C12,C15,C16,C49,C18,C35,C10,C11,C14,C44,C6,C2,C5,C17,C8,C27,C24";"C_0402_1005Metric";21;"1uF";;;
12;"C38";"C_0805_2012Metric";1;"1uF";;;
13;"C45";"C_0805_2012Metric";1;"470pF";;;
14;"Y1";"SC32S-7PF20PPM";1;"32.768kHz";;;
15;"U5";"SOT-23-5";1;"MCP1824T-1802E";;;
16;"R6,R20,R36,R4,R24,R9";"R_0402_1005Metric";6;"10k";;;
17;"U6";"SOT-23-5";1;"MCP1824T-0802E";;;
18;"U7";"TSSOP-8_3x3mm_P0.65mm";1;"EMC2101";;;
19;"JP3";"SolderJumper-2_P1.3mm_Bridged2Bar_RoundedPad1.0x1.5mm";1;"SolderJumper_2_Bridged";;;
20;"R29,R28";"R_0402_1005Metric";2;"261";;;
21;"C30,C31";"C_0402_1005Metric";2;"6.8pF";;;
22;"U2";"TXB0104";1;"TXB0104RGYR";;;
23;"R10";"R_0402_1005Metric";1;"3.83k";;;
24;"L1";"FP1005R1-R15-R";1;"150nH";;;
25;"R15";"R_0402_1005Metric";1;"3.32k";;;
26;"H4,H3,H2,H1";"MountingHole_2.2mm_M2";4;"AlignmentHole";;;
27;"R16";"R_0402_1005Metric";1;"80k";;;
28;"C32";"C_0402_1005Metric";1;"470pF";;;
29;"R3,R23,R2,R5";"R_0402_1005Metric";4;"0";;;
30;"C40";"C_0805_2012Metric";1;"180pF";;;
31;"U10";"TSSOP-8_3x3mm_P0.65mm";1;"DS4432U+";;;
32;"C39";"C_0402_1005Metric";1;"3.3nF";;;
33;"R14";"R_0402_1005Metric";1;"4.99k";;;
34;"R11";"R_0402_1005Metric";1;"100k";;;
35;"C13";"CP_EIA-7343-31_Kemet-D_Pad2.25x2.55mm_HandSolder";1;"330uF";;;
36;"Q2,Q1";"CSD17311Q5";2;"CSD17311Q5";;;
37;"JP4";"SolderJumper-3_P1.3mm_Bridged2Bar12_Pad1.0x1.5mm";1;"JTAG Source";;;
38;"U9";"TPS40305";1;"TPS40305";;;
39;"C46";"CAP_2R5TPE220MAFB";1;"220uF";;;
40;"R25";"R_0402_1005Metric";1;"19.1k";;;
41;"R17";"R_0402_1005Metric";1;"DNP";;;
42;"C34,C36,C37";"C_1210_3225Metric";3;"47uF";;;
43;"U1";"O 25,0-JO32-B-1V3-1-T1-LF";1;"25MHz";;;
44;"R12";"R_0402_1005Metric";1;"4.12k";;;
45;"R22,R21";"R_0402_1005Metric";2;"60.4";;;
46;"C47";"C_1206_3216Metric";1;"100uF";;;
47;"U11";"RT9080-33GJ5";1;"RT9080-33GJ5";;;
48;"J4";"470531000";1;"Conn_01x04";;;
49;"J9";"PinHeader_1x04_P2.54mm_Vertical";1;"Conn_01x04";;;
50;"J2,J1";"63862-1";2;"Conn_01x01";;;
51;"J6";"PinHeader_1x08_P2.54mm_Vertical";1;"Conn_01x08";;;
52;"J7";"PinHeader_1x02_P2.54mm_Vertical";1;"Conn_01x02";;;
53;"J3";"PinHeader_1x05_P2.54mm_Vertical";1;"Conn_01x05";;;
54;"U12";"ESP32-S3-WROOM-1";1;"ESP32-S3-WROOM-1";;;
55;"IC1";"BM1397_SOCKET_HEADER";1;"BM1397_mode1";;;
56;"J5";"Tag-Connect_TC2030-IDC-NL_2x03_P1.27mm_Vertical";1;"TC2030-IDC";;;
57;"U13,U4";"CLX6E-FKC-CH1M1D1BB7C3D3";2;"CLX6E-FKC";;;
58;"C28";"CP_Elec_6.3x7.7";1;"220uF";;;
59;"J10";"FTSH-105-01-F-DV-K";1;"FTSH-105-01-F-DV-K";;;
